input,aspect_terms,aspect_category
by the time we finished our dinner we still had not received one beverage nor hooka !,NULL, service general
what we did do was waste 3 hours being trapped in a table waiting and waiting for food and drinks and hooka . . some of which we never received !,NULL, service general
the only beverage we did receive was water in dirty glasses !,NULL, service general
to top it all off . . the main reason we came to your restaurant was for the belly dancers and missed the first show as we were not seated yet and the 2nd belly dancer only danced at two tables in the back of the restaurant and never made it around to the other half of the restaurant .,NULL, service general
"by the time we left our wallets were empty and so were our stomachs and we missed the show we were supposed to see following our dinner , which would have been acceptable if we got to enjoy the experience of good food and belly dancers !",NULL, restaurant prices
if it seemed possible to do so while there i would have fought my bill since my dinner portion of my meal was inedible !,meal, food quality
"i have never left a restaurant feeling as if i was abused , and wasted my hard earned money .",restaurant, restaurant general
my husbands birthday and my sons was not as it was intended . . . and we drove two hours to spend too much money to be treated terribly !,NULL, restaurant general
i wish i could be refunded !,NULL, restaurant general
do n  t go with a larger group than 4 !,NULL, restaurant miscellaneous
"at first we were a little taken aback , as this seemed to present a problem , although the restaurant looked fairly empty , but they hastily put the table together for us .",NULL, service general
the menu is fairly simple without much descriptions .,menu, food style_options
"there was no tap beer that evening , which was a disappointment .",beer, drinks style_options
"not much of a selection of bottled beer either , we went with brahma .",selection of bottled beer, drinks style_options
the appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion ( maybe 3 of each ) .,fried oysters and clams, food quality
"the lobster knuckles ( special of the day ) were ok , but pretty tasteless .",lobster knuckles, food style_options
i believe there were 2 shrimp in the ` ` salt encrusted shrimp   appetizer .,` ` salt encrusted shrimp   appetizer, food style_options
"she replied ` ` well it would be more convenient for us if you ordered now , since you are a larger party , and it might get crowded .  ",NULL, service general
the food arrived in about 15 minutes .,NULL, service general
i had the thai style fried sea bass . . . which was very good .,thai style fried sea bass, food quality
"everyone seemed generally happy with their food , except my brother who had the grilled mahi mahi , seemingly drenched in grapfruit juice !",food, food quality
i heard the lobster roll was excellent .,lobster roll, food quality
"they seemed to continue to rush us along , taking plates without asking if we were done ( my sister still had her fork in hand ) .",NULL, service general
"all in all the food was good - a little on the expensive side , but fresh .",food, food quality
service not the friendliest to our ` ` large party   !,service, service general
probably would not go back here .,NULL, restaurant general
great indian food,indian food, food quality
"food was amazing - i love indian food and eat it quite regularly , but i can say this is one of the best i  ve had .",food, food quality
"very ` ` normal indian food   , but done really well .",indian food, food style_options
"also , waiters try to push more food on you , like suggest things as if they are complimentary when they actually cost $ .",waiters, service general
"but if you  re prepared to spend some $ and remember to ask if something they offer is complimentary , then this is the place to go for indian food",place, restaurant prices
one of the best,NULL, restaurant general
"bukhara grill , the tagline says it all . . ` ` indian spice rave  ",bukhara grill, restaurant general
the lunch buffet is expensive but is deff worth it .,lunch buffet, food prices
we have gone for dinner only a few times but the same great quality and service is given .,dinner, food quality
bukhara is on my top 5 indian places in nyc,bukhara, restaurant general
wretched and retching,NULL, restaurant general
i have never been so disgusted by both food an service .,food, food quality
for starters they delivered us someone else  s order .,NULL, service general
"however , once i received my predictably mediocre order of what dokebi thinks passes as korean fair , ( sometimes you have to settle when it  s your only option ) , i got through about half my kimchee before i found a piece of random lettuce accompanied by a far more disgusting , slimy , clearly bad piece of fish skin .",kimchee, food quality
"my main concern was the sanity of the food that was being sent out to myself and others , but i would be lying is i said that as someone who has worked in restaurants since the age of fifteen i was expecting at least a minimal effort on the part of the restaurant to amend the situation .",food, food quality
none was made so i hung up .,NULL, service general
less than three minutes passed before i found myself doubled over the toilet .,NULL, food quality
"my girlfriend , being slightly more aggressive , and having been equally disgusted causing her to throw out the remainder of her barely eaten meal , called back only to be informed that i was probably wrong and that it was most likely an oyster , and that we were also blacklisted from their restaurant .",meal, food quality
"it was n  t as if this restaurant had any major bragging points before hand , but now it  s simply repulsive .",restaurant, restaurant general
gorgeous place ideal for a romantic dinner,place, ambience general
i book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot .,four course prix fix menu, food quality
i completely recommend casa la femme for any special occasion and to really impress your date .,casa la femme, restaurant miscellaneous
more williamsburg garbage,NULL, restaurant general
the dishes came out around 5 minutes apart .,NULL, service general
"the bibimbap was average , but the stone bowl was n  t even close to sizzling .",bibimbap, food quality
too bad i had paid an extra $ 2 for the stone bowl .,stone bowl, food prices
the nakgi - bokum was horrible .,nakgi - bokum, food quality
easily the worst stir - fried squid i  ve ever tasted .,stir - fried squid, food quality
the sauce tasted more like chinese fast food than decent korean .,sauce, food quality
"the side dishes were passable , and i did get a refill upon request .",side dishes, food quality
the real problem i had with this place was the complete lack of service .,service, service general
she just nodded and walked off .,NULL, service general
"as to my comment about the food , no apology or acknowledgment was made .",NULL, service general
my wife had barely touched that mess of a dish .,dish, food quality
we were charged full price .,NULL, service general
lives up to the hype,NULL, restaurant general
we  ve tried before but it always packed and does n  t take reservations .,NULL, restaurant miscellaneous
it was well worth the wait .,NULL, restaurant general
the wife had the risotto which was amazing .,risotto, food quality
"it does n  t look appetizing as it  s covered in squid ink and it turns your lips and teeth black , but the taste was phenomenal .",NULL, food style_options
the farro salad and the mashed yukon potatoes were also extremely tasty .,farro salad, food quality
i love margherita pizza – i looove east village pizza,margherita pizza, restaurant general
"love this place , every time we are in the city this is one of the places we always go .",place, restaurant general
a quintessential slice of nyc pizza .,slice of nyc pizza, food quality
"the crust has a great bite and a good chew , the sauce is light with a nice acidity to it , the salt from the cheese is great , really heightens the flavor of all the other components .",crust, food quality
"personally i like the margherita pizza better , but they are all good .",margherita pizza, food quality
possibly the most romantic restaurant in the city,restaurant, ambience general
"this is undoubtedly my favorite modern japanese brasserie ( that don ’ t serve sushi ) , and in my opinion , one of the most romantic restaurants in the city !",modern japanese brasserie, restaurant general
"not only is it an adventure getting to this somewhat hidden spot , once you enter the unmarked wooden doors , the zen and intimate decor will make you feel like you ’ re no longer in the city .",spot, location general
"if you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) .",private booths, ambience general
it ’ s just you and your date and an occasional cute ‘ excuse me ’ before the waiter opens the little curtain to your booth !,NULL, ambience general
"my party had the bbe $ 29 fixe prix menu , which was such a wonderful deal since it also came with a flight of sake !",bbe $ 29 fixe prix menu, food prices
we started off with a delightful sashimi amuse bouche .,sashimi amuse bouche, food quality
"i picked the grilled black cod as my entree , which i absolutely devoured while someone commented that the grilled salmon dish was better .",grilled black cod, food quality
the entrees were served with miso soup and rice .,entrees, food style_options
"for desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal .",frozen black sesame mousse, food quality
"i do n  t usually visit the same establishment more than once , what more twice , but i  ll come to zenkichi anytime for a quiet , unhurried and memorable dinner .",zenkichi, ambience general
terrible would be a compliment !,NULL, restaurant general
"the service leaves much to be desired , from feeling like you are rushed the place your order , to being ignored the rest of the night .",service, service general
we paid a fixed pricce but got nothing ! !,NULL, service general
we never ate because by close to 2 in the monring we were not served and were too upset ad tired to start eating .,NULL, service general
"they are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread !",service, service general
stay away,NULL, restaurant general
great shabu shabu,shabu shabu, food quality
i love it .,NULL, restaurant general
"but for the shabu shabu , you wo n  t find much better in ny .",shabu shabu, food quality
"the meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",meat, food quality
dokebi gives williamsburg the right one - two punch of classic korean food and fusion twists like pork belly tacos .,korean food, food quality
"the hot dogs are good , yes , but the reason to get over here is the fantastic pork croquette sandwich , perfect on its supermarket squishy bun .",hot dogs, food quality
restaurant with a view,view, location general
the food tasted very good .,food, food quality
the main entree was also very good .,main entree, food quality
"price is high but the food is good , so i would come back again .",food, food quality
this place does n  t make any sense,place, restaurant general
just want to warn you all - do n  t waste your time and money .,NULL, restaurant general
"this place has totally weird decor , stairs going up with mirrored walls - i am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional . . .",decor, ambience general
this place is not inviting and the food is totally weird .,place, ambience general
the concept of japanese tapas is newly created and clearly does n  t work .,japanese tapas, food style_options
good food,food, food quality
"the food was great and tasty , but the sitting space was too small , i do n  t like being cramp in a corner .",food, food quality
over all it was a very nice romantic place .,place, restaurant general
loved it,NULL, restaurant general
a coworker and i tried pacifico after work a few fridays and loved it .,pacifico, restaurant general
the atmosphere was great .,atmosphere, ambience general
"the food we ordered was excellent , although i would n  t say the margaritas were anything to write home about .",food, food quality
"our waitress was n  t mean , but not especially warm or attentive either .",waitress, service general
"i must say i am surprised by the bad reviews of the restaurant earlier in the year , though .",restaurant, restaurant general
"regardless , we  ll be back and ca n  t wait to visit in the summer to take advantage of the patio .",patio, ambience general
dumbfoundingly poor,NULL, restaurant general
"this was , from start to finish , a mind - bogglingly uncomfortable experience .",NULL, restaurant general
lexicographers take note : a new and fascinating definition of rudeness is alive and flourishing right here in brooklyn .,NULL, service general
the servers at flatbush farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention .,servers, service general
polite acknowledgement is out ;,NULL, service general
"and how many times can you pick up the same perfectly aligned set of napkins , inspect them vapidly and plonk them down in exactly the same place instead of venturing a glance at people who are there to help you make the rent ?",NULL, service general
"a different server enhanced the fun , dumping our entrees in front of us halfway through our appetizer ( which was delicious ) .",server, service general
"overall the food quality was pretty good , though i hear the salmon is much better when it has n  t sat cooling in front of the guest .",food, food quality
"the place has a nice fit - out , some attractive furnishings and , from what i could tell , a reasonable wine list ( i was given the food menu when i asked for the carte des vins )",fit - out, ambience general
"at $ 120 for two people , however , this in no way represents value , unless you  re looking to pay by the hour for passive - aggressive torture .",NULL, restaurant prices
"on that scale , it  s a world - beater .",NULL, restaurant general
how is this palce still open ?,palce, restaurant general
i honestly do n  t even know where to begin .,NULL, restaurant general
"we arrived and were seated immediately , which made us both happy .",NULL, service general
everything was going good until we got our meals .,meals, food quality
i took one look at the chicken and i was appalled .,chicken, food style_options
"it was served with skin , over a bed of extremely undercooked spinach and mashed potatoes .",spinach, food quality
"i took one bite from the $ 24 salmon , and i have never , in the 17 years i have been going to restaurants tasted salmon as fishy , as dry , and as bland as the one in flatbush farms .",salmon, food prices
"at this point , the waitress comes over and asks us if everything was okay , i was literally so shocked that i was speechless and did n  t say anything , and guess what , the waitress walked away .",waitress, service general
"so , i switch with my boyfriend again to see if maybe i could stomach the meat and spinach again , but the spinach was so undercooked that i just could not bite through it .",spinach, food quality
i could n  t even enjoy the mashed potatoes because it was hidden completely under the chicken and spinach .,NULL, food style_options
so i decide to report back to the waitress because it was completely inedible .,NULL, food quality
"guess what , i waited for twenty minutes before she came over and when she finally did , she says , ` ` oh well , i wish you would have said something earlier   no apology , nothing .",NULL, service general
"after that she simply took our plates , walked away , came back another twenty minutes later with the bill and the chicken on it ! ! ! ! ! ! ! ! ! ! ! !",NULL, service general
"no desert menu , no apology , nothing ! ! ! ! ! !",NULL, service general
"this is where it really really gets bad : the manager said , there is absolutely nothing we can do , it  s a matter of taste that she did n  t like it , and i can not comp it .",manager, service general
"again , no apology , no is there anything else i can get you , no can i get you a drink to make up for it , nothing ! ! ! !",NULL, service general
the level of rudeness was preposterous .,NULL, service general
"the manager came to the table and said we can do what we want , so we paid for what we did enjoy , the drinks and appetizers , and walked out .",manager, service general
i have never ever had such an unpleasant experience .,NULL, restaurant general
this staff should be fired .,staff, service general
cirspy crust margherita pizza,margherita pizza, food quality
it was really good pizza .,pizza, food quality
the crust was imazingly cooked well and pizza was fully loaded : ) : ) : ),crust, food quality
you know what i mean all the positives things happening there made mw write this review .,NULL, restaurant general
"i  ll being with a couple of positives : cool decor , good pita and hummus , and grilled octopus that was actually pretty tasty .",decor, ambience general
if i could give 0 stars i would do so for this place .,place, restaurant general
the reason there are 4 different results on citysearch for the same place is because they keep trying to start a new thread so they can stock it with positive reviews .,NULL, restaurant miscellaneous
well . . . they can run but they ca n  t hide .,NULL, restaurant general
this place . . . god where do i begin .,place, restaurant general
the decor however seems to be the distraction so you wo n  t notice that you just payed 300 bucks for some cold eggplant that took 2 frickin hours to come ! ! ! !,decor, ambience general
great hot dogs !,hot dogs, food quality
"the hot dogs are top notch , and they  re slamwich is amazing !",hot dogs, food quality
"going to bark is always worth the train ride , and will make your tongue and belly very happy !",bark, restaurant general
only complaint is the pricing - - i believe it would be more reasonable to pay a dollar less on each item listed on the menu .,menu, food prices
fabulous food - if the front of house staff do n  t put you off –,food, food quality
"it  s a little out of our price range for dining there except on special occasions , but we  ve eaten there 6 times in the last 2 years .",NULL, restaurant prices
"each time we  ve been , the front of house staff ( not the waiters - they  re fantastic - but the people who greet and seat you ) has been so hideous to us that were it not for the exceptional fish dishes i would never return .",waiters, service general
"as bfc does n  t take reservations you almost always have to wait by the bar - and be abused by the front of house staff until you are seated , which can be over an hour later !",bfc, restaurant miscellaneous
the frizzy retro girl ( with winged / dame edna glasses ) will yell at you if you try to order a drink .,girl, service general
i was almost amused by the fact that she was turning away customers at 9pm on a friday night because she ` ` had a bbq to go to   that night - wtf ? ?,NULL, service general
i  d be horrified if my staff were turning away customers so early and so rudely !,staff, service general
"there  s another girl who i ca n  t describe , she is about 5  6   with brown hair , who eavesdrops on your conversation and chimes in - except she only hears the last part of what you said , so her uninvited opinions are often out of context and nothing to do with what you  re * really * talking about .",girl, service general
"i  m a friendly person , so i would n  t mind had she not been so nasty and gotten so personal .",NULL, service general
"again , i  d be super upset if that were my employee .",NULL, service general
"considering you will spend at least $ 60 a head , i expect better service .",service, service general
"so , if you  re walking by and thinking about dining , you might want to see who  s going to be seating you first . . .",NULL, service general
maitre - d -   eat and get out  ,maitre - d, service general
"while finishing our meals which included a high - end bottle of wine , our son  s fiance joined us for a glass of wine and dessert .",bottle of wine, drinks quality
"this guy refused to seat her and she left , followed shortly by the four of us , but not before i told him that in my 40 years of world travel , including paris , that i had never seen such a display of bad behavior by a frontman in a restaurant .",frontman, service general
"his response was smug , arrogant , and condescending , totally consistent with his deportment on display all evening .",NULL, service general
"if you go here , do it on his off - night .",NULL, service general
best meal in a long time !,meal, food quality
mussles and calamari were superb saturday evening .,mussles, food quality
"my father had the flank steak which was very good , and my mother had the swordfish .",flank steak, food quality
the four seasons restaurant is a great experience .,the four seasons restaurant, restaurant general
the food is great and the environment is even better .,food, food quality
everyone must come here at least once .,NULL, restaurant general
highly recommend it !,NULL, restaurant general
taking hot dogs to the next level,hot dogs, food quality
"at first glance this place seems a bit pricey for a hot dog joint , but at bark you do n  t just get your average hot dog .",hot dog, food quality
here the hot dog is elevated to the level of a real entree with numerous variations available .,hot dog, food quality
great atmosphere,atmosphere, ambience general
"i highly recommend the fish tacos , everything else was ok .",fish tacos, food quality
"cool atmosphere , the fire place in the back really ads to it but needs a bit more heat throughout on a cold night .",atmosphere, ambience general
poor service and management,service, service general
had an awful experience at casa la femme on a saturday dinner .,casa la femme, restaurant general
appetizers took nearly an hour .,NULL, service general
never got an explanation as to what was going on .,NULL, service general
the manager was rude and handled the situation extremely poorly .,manager, service general
"on the way out , we heard of other guests complaining about similar issues .",NULL, service general
can ’ t believe how an expensive nyc restaurant can be so disrespectful to its clients .,restaurant, restaurant prices
what a hassle !,NULL, restaurant general
"the food is very good , but not outstanding .",food, food quality
"there is no way it justifies the accolades it receives , the attitude of the staff or the wait for a table .",staff, service general
"on our last visit , they skipped over our name on the list , leaving us waiting an extra hour for a table .",NULL, service general
"mistakes happen , but they are usually accompanied by an apology , perhaps even a glass of wine . . . but not the grunt that we received from the al di la staff .",staff, service general
expensive,NULL, restaurant prices
"the pasta was well cooked , did n  t have enough sauce though or flavor .",pasta, food quality
so rude ! ! !,NULL, service general
i was one of the people that went for this horrible experience .,NULL, restaurant general
the hostess was rude and i got a distinct feeling that they did not want to serve us .,hostess, service general
the only thing that my friend left out is that when we sat down at the bar the bartender disappeared .,bartender, service general
i asked for a menu and the same waitress looked at my like i was insane .,waitress, service general
"i was shocked that my friends wanted to stay after the waitress said , ` ` can i help you   and ` ` how many are in your party .  ",waitress, service general
the three of us standing in front of her should have been an indication of how many of us there were .,NULL, service general
we did n  t look like the other patrons in there so unfortunately i think that may have been part of the problem .,NULL, restaurant miscellaneous
bad staff,staff, service general
i generally like this place .,place, restaurant general
the design of the space is good .,space, ambience general
but the service is horrid !,service, service general
"i was there for brunch recently , and we were tag teamed by a waitress and a waiter .",waitress, service general
the waiter delivered our food while holding what appeared to be a plastic bag of garbage in one hand .,waiter, service general
"i ca n  t believe that it was , but please put the bag down before delivering food !",NULL, service general
"the waitress came to check in on us every few minutes , and began to clear the plates while half of us were still eating ( a big pet peeve of mine that happens almost everywhere , so i try to ignore it ) .",waitress, service general
"i could n  t ignore the fact that she reach over the plate of one of my friends , who was in mid bite , to clear the table .",NULL, service general
"she then put the check down without asking if we were done , and came to check on the bill every two minutes , even though we were one of three occupied tables .",NULL, service general
"i wish i could like this place more , and i wish someone would retrain the staff .",place, restaurant general
